popSize;mixinFactor;cp;mp;maxGen;natSel;iteration;eval;optimum;duration;bestPhenotype
10;0.25;0.6;0.1;25;roulette;4;-1269.0;-1173.0;37.096 seconds;{"price":1449,"size":45,"maxSize":27}
10;0.1;0.6;0.1;25;ts3;3;130.0;-1173.0;1.136 seconds;{"price":0,"size":0,"maxSize":27}
10;0.0;0.6;0.1;25;roulette;3;-869.0;-1173.0;42.455 seconds;{"price":1019,"size":42,"maxSize":27}
20;0.1;0.6;0.1;25;roulette;0;-860.0;-1173.0;1 minutes, 39.601 seconds;{"price":1010,"size":42,"maxSize":27}
10;0.1;0.8;0.1;25;roulette;2;-860.0;-1173.0;39.923 seconds;{"price":1020,"size":43,"maxSize":27}
10;0.1;0.7;0.2;25;roulette;0;-704.0;-1173.0;43.830 seconds;{"price":734,"size":20,"maxSize":27}
10;0.1;0.7;0.3;25;roulette;1;-929.0;-1173.0;1 minutes, 10.157 seconds;{"price":1129,"size":47,"maxSize":27}
50;0.1;0.6;0.1;25;roulette;0;-802.0;-1173.0;8 minutes, 3.619 seconds;{"price":1032,"size":50,"maxSize":27}
10;0.0;0.6;0.1;25;roulette;4;-1063.0;-1173.0;45.457 seconds;{"price":1333,"size":54,"maxSize":27}
10;0.1;0.8;0.2;25;roulette;2;-1110.0;-1173.0;33.646 seconds;{"price":1450,"size":61,"maxSize":27}
10;0.1;0.6;0.1;25;ts2;0;-637.0;-1173.0;11.604 seconds;{"price":657,"size":29,"maxSize":27}
10;0.25;0.6;0.1;25;roulette;1;-1260.0;-1173.0;40.097 seconds;{"price":1390,"size":40,"maxSize":27}
50;0.0;0.6;0.1;25;roulette;4;-1036.0;-1173.0;9 minutes, 14.372 seconds;{"price":1396,"size":63,"maxSize":27}
10;0.1;0.6;0.2;25;roulette;2;-1497.0;-1173.0;56.761 seconds;{"price":2167,"size":94,"maxSize":27}
10;0.1;0.6;0.1;25;ts3;0;130.0;-1173.0;13.674 seconds;{"price":0,"size":0,"maxSize":27}
10;0.1;0.8;0.1;25;roulette;0;-1200.0;-1173.0;38.157 seconds;{"price":1390,"size":46,"maxSize":27}
20;0.1;0.6;0.1;25;roulette;3;-1196.0;-1173.0;1 minutes, 42.818 seconds;{"price":1686,"size":76,"maxSize":27}
10;0.5;0.6;0.1;25;roulette;4;-1187.0;-1173.0;22.509 seconds;{"price":1387,"size":47,"maxSize":27}
10;0.1;0.6;0.1;50;roulette;3;-1329.0;-1173.0;1 minutes, 0.503 seconds;{"price":1809,"size":75,"maxSize":27}
10;0.1;0.6;0.2;25;roulette;3;-1417.0;-1173.0;50.812 seconds;{"price":1757,"size":61,"maxSize":27}
20;0.1;0.6;0.1;25;roulette;1;-1166.0;-1173.0;1 minutes, 44.607 seconds;{"price":1456,"size":56,"maxSize":27}
10;0.1;0.6;0.1;100;roulette;2;-763.0;-1173.0;1 minutes, 45.143 seconds;{"price":983,"size":49,"maxSize":27}
10;0.1;0.6;0.1;25;roulette;3;-1584.0;-1173.0;22.335 seconds;{"price":2424,"size":111,"maxSize":27}
10;0.1;0.7;0.2;25;roulette;2;-1148.0;-1173.0;51.888 seconds;{"price":1748,"size":87,"maxSize":27}
10;0.1;0.6;0.1;25;ts2;3;130.0;-1173.0;11.751 seconds;{"price":0,"size":0,"maxSize":27}
20;0.1;0.6;0.1;25;roulette;4;-829.0;-1173.0;1 minutes, 15.275 seconds;{"price":989,"size":43,"maxSize":27}
10;0.1;0.6;0.1;25;roulette;0;-1037.0;-1173.0;34.718 seconds;{"price":1427,"size":66,"maxSize":27}
10;0.1;0.6;0.1;25;ts3;2;-282.0;-1173.0;13.706 seconds;{"price":352,"size":13,"maxSize":27}
10;0.1;0.6;0.1;50;roulette;1;-964.0;-1173.0;1 minutes, 6.635 seconds;{"price":1034,"size":34,"maxSize":27}
10;0.5;0.6;0.1;25;roulette;3;-677.0;-1173.0;22.261 seconds;{"price":737,"size":15,"maxSize":27}
10;0.1;0.6;0.1;50;roulette;4;-905.0;-1173.0;1 minutes, 2.274 seconds;{"price":1045,"size":41,"maxSize":27}
10;0.1;0.6;0.1;50;roulette;0;-1416.0;-1173.0;1 minutes, 6.999 seconds;{"price":2036,"size":89,"maxSize":27}
50;0.0;0.6;0.1;25;roulette;2;-838.0;-1173.0;9 minutes, 42.510 seconds;{"price":1328,"size":76,"maxSize":27}
10;0.1;0.6;0.1;25;ts2;4;-225.0;-1173.0;6.787 seconds;{"price":315,"size":8,"maxSize":27}
10;0.1;0.7;0.3;25;roulette;4;-1378.0;-1173.0;24.753 seconds;{"price":1988,"size":88,"maxSize":27}
10;0.1;0.6;0.1;25;roulette;2;-1710.0;-1173.0;33.432 seconds;{"price":2630,"size":119,"maxSize":27}
10;0.1;0.6;0.1;50;roulette;2;-959.0;-1173.0;1 minutes, 1.842 seconds;{"price":1059,"size":37,"maxSize":27}
10;0.1;0.6;0.1;100;roulette;4;-1348.0;-1173.0;57.680 seconds;{"price":1748,"size":67,"maxSize":27}
