popSize;mixinFactor;cp;mp;maxGen;natSel;iteration;eval;optimum;duration;bestPhenotype
10;0.25;0.6;0.1;25;roulette;4;230.85060018784625;0;0.117 seconds;{"eval":230.85060018784625}
10;0.1;0.8;0.3;100;roulette;1;261.750546573625;0;0.700 seconds;{"eval":261.750546573625}
100;0.0;0.6;0.3;100;roulette;3;275.71286638672814;0;21.674 seconds;{"eval":275.71286638672814}
10;0.0;0.8;0.1;25;roulette;1;290.7049151424467;0;0.183 seconds;{"eval":290.7049151424467}
10;0.0;0.6;0.2;100;roulette;1;220.4438771013136;0;0.697 seconds;{"eval":220.4438771013136}
10;0.0;0.8;0.3;25;roulette;2;266.5414623479968;0;0.204 seconds;{"eval":266.5414623479968}
20;0.0;0.6;0.3;100;roulette;1;264.1501701838396;0;1.910 seconds;{"eval":264.1501701838396}
10;0.25;0.6;0.3;100;roulette;0;255.41288536536806;0;0.952 seconds;{"eval":255.41288536536806}
10;0.0;0.6;0.3;100;roulette;1;236.49478844840132;0;0.323 seconds;{"eval":236.49478844840132}
10;0.0;0.6;0.3;25;roulette;4;255.01852663431237;0;0.094 seconds;{"eval":255.01852663431237}
10;0.0;0.6;0.3;50;roulette;2;231.35548714075355;0;0.264 seconds;{"eval":231.35548714075355}
10;0.0;0.6;0.1;100;roulette;3;235.1695862629479;0;0.507 seconds;{"eval":235.1695862629479}
10;0.0;0.8;0.2;25;roulette;4;251.84123205227337;0;0.118 seconds;{"eval":251.84123205227337}
10;0.25;0.6;0.1;25;roulette;1;248.55988422415007;0;0.165 seconds;{"eval":248.55988422415007}
20;0.0;0.8;0.3;100;roulette;3;239.13898110738546;0;2.200 seconds;{"eval":239.13898110738546}
10;0.0;0.8;0.1;100;roulette;2;248.2517903831763;0;0.358 seconds;{"eval":248.2517903831763}
10;0.0;0.7;0.1;100;roulette;3;259.621893669719;0;0.728 seconds;{"eval":259.621893669719}
10;0.0;0.6;0.1;100;roulette;4;260.69939968082764;0;0.439 seconds;{"eval":260.69939968082764}
10;0.0;0.8;0.1;25;roulette;0;284.5211076358918;0;0.355 seconds;{"eval":284.5211076358918}
