popSize;mixinFactor;cp;mp;maxGen;natSel;iteration;eval;optimum;duration;bestPhenotype
10;0.1;0.62;0.05;25;roulette;2;-1145.0;-1173.0;31.853 seconds;{"price":1365,"size":49,"maxSize":27}
10;0.1;0.62;0.08;25;roulette;1;-1103.0;-1173.0;35.869 seconds;{"price":1333,"size":50,"maxSize":27}
10;0.1;0.6;0.1;20;roulette;0;-1200.0;-1173.0;28.027 seconds;{"price":1760,"size":83,"maxSize":27}
10;0.1;0.58;0.05;25;roulette;1;-905.0;-1173.0;32.457 seconds;{"price":995,"size":36,"maxSize":27}
10;0.1;0.58;0.08;25;roulette;2;-1178.0;-1173.0;40.194 seconds;{"price":1708,"size":80,"maxSize":27}
10;0.1;0.65;0.05;25;roulette;0;-638.0;-1173.0;34.841 seconds;{"price":658,"size":23,"maxSize":27}
10;0.1;0.55;0.12;25;roulette;1;-676.0;-1173.0;39.825 seconds;{"price":686,"size":24,"maxSize":27}
10;0.1;0.6;0.15;25;roulette;0;-1194.0;-1173.0;54.918 seconds;{"price":1754,"size":83,"maxSize":27}
10;0.1;0.6;0.1;30;roulette;1;-1669.0;-1173.0;38.177 seconds;{"price":2199,"size":80,"maxSize":27}
10;0.1;0.58;0.1;25;roulette;2;-1163.0;-1173.0;35.041 seconds;{"price":1393,"size":50,"maxSize":27}
10;0.1;0.55;0.15;25;roulette;0;-1438.0;-1173.0;48.616 seconds;{"price":2148,"size":98,"maxSize":27}
10;0.1;0.58;0.1;25;roulette;0;-1120.0;-1173.0;35.596 seconds;{"price":1380,"size":53,"maxSize":27}
10;0.15;0.6;0.1;25;roulette;0;-1334.0;-1173.0;28.737 seconds;{"price":1654,"size":59,"maxSize":27}
10;0.1;0.55;0.08;25;roulette;2;-1147.0;-1173.0;32.976 seconds;{"price":1397,"size":52,"maxSize":27}
10;0.2;0.6;0.1;25;roulette;0;-1016.0;-1173.0;27.699 seconds;{"price":1376,"size":63,"maxSize":27}
10;0.1;0.65;0.08;25;roulette;0;-802.0;-1173.0;40.579 seconds;{"price":1032,"size":50,"maxSize":27}
10;0.1;0.6;0.12;25;roulette;1;-620.0;-1173.0;43.971 seconds;{"price":710,"size":36,"maxSize":27}
10;0.1;0.58;0.05;25;roulette;0;-858.0;-1173.0;36.400 seconds;{"price":1068,"size":48,"maxSize":27}
10;0.1;0.6;0.1;35;roulette;2;-1192.0;-1173.0;42.422 seconds;{"price":1762,"size":84,"maxSize":27}
10;0.1;0.65;0.05;25;roulette;2;-1254.0;-1173.0;22.307 seconds;{"price":1804,"size":82,"maxSize":27}
10;0.1;0.6;0.1;15;roulette;0;-1180.0;-1173.0;20.985 seconds;{"price":1370,"size":46,"maxSize":27}
10;0.1;0.62;0.12;25;roulette;0;-915.0;-1173.0;52.714 seconds;{"price":1065,"size":42,"maxSize":27}
10;0.1;0.55;0.12;25;roulette;0;-1150.0;-1173.0;49.898 seconds;{"price":1420,"size":54,"maxSize":27}
10;0.1;0.65;0.1;25;roulette;1;-1114.0;-1173.0;36.026 seconds;{"price":1434,"size":59,"maxSize":27}
10;0.1;0.62;0.15;25;roulette;2;-1441.0;-1173.0;49.797 seconds;{"price":1691,"size":52,"maxSize":27}
10;0.05;0.6;0.1;25;roulette;1;-1083.0;-1173.0;30.454 seconds;{"price":1393,"size":58,"maxSize":27}
10;0.1;0.6;0.15;25;roulette;1;-1247.0;-1173.0;57.960 seconds;{"price":1747,"size":77,"maxSize":27}
10;0.1;0.58;0.15;25;roulette;0;-694.0;-1173.0;53.274 seconds;{"price":754,"size":33,"maxSize":27}
10;0.05;0.6;0.1;25;roulette;0;-853.0;-1173.0;26.997 seconds;{"price":1013,"size":43,"maxSize":27}
10;0.1;0.65;0.12;25;roulette;1;-953.0;-1173.0;45.236 seconds;{"price":1043,"size":36,"maxSize":27}
10;0.1;0.65;0.1;25;roulette;2;-1073.0;-1173.0;27.154 seconds;{"price":1353,"size":55,"maxSize":27}
10;0.1;0.58;0.15;25;roulette;2;-1049.0;-1173.0;55.522 seconds;{"price":1369,"size":59,"maxSize":27}
10;0.1;0.55;0.1;25;roulette;2;-1180.0;-1173.0;40.367 seconds;{"price":1600,"size":69,"maxSize":27}
10;0.1;0.6;0.1;15;roulette;1;-967.0;-1173.0;17.674 seconds;{"price":1087,"size":39,"maxSize":27}
15;0.1;0.6;0.1;25;roulette;0;-886.0;-1173.0;24.669 seconds;{"price":1036,"size":42,"maxSize":27}
10;0.1;0.65;0.08;25;roulette;1;-1154.0;-1173.0;38.373 seconds;{"price":1464,"size":58,"maxSize":27}
10;0.1;0.62;0.05;25;roulette;0;-934.0;-1173.0;33.595 seconds;{"price":1104,"size":44,"maxSize":27}
10;0.1;0.6;0.1;35;roulette;1;-698.0;-1173.0;44.142 seconds;{"price":718,"size":29,"maxSize":27}
10;0.1;0.6;0.05;25;roulette;1;-1192.0;-1173.0;38.656 seconds;{"price":1382,"size":46,"maxSize":27}
10;0.1;0.6;0.08;25;roulette;0;-1062.0;-1173.0;44.311 seconds;{"price":1452,"size":66,"maxSize":27}
10;0.1;0.58;0.1;25;roulette;1;-1595.0;-1173.0;34.876 seconds;{"price":2115,"size":79,"maxSize":27}
5;0.1;0.6;0.1;25;roulette;0;-1500.0;-1173.0;8.751 seconds;{"price":2000,"size":77,"maxSize":27}
10;0.1;0.6;0.15;25;roulette;2;-1013.0;-1173.0;53.602 seconds;{"price":1383,"size":64,"maxSize":27}
10;0.1;0.58;0.15;25;roulette;1;-1369.0;-1173.0;57.000 seconds;{"price":2019,"size":92,"maxSize":27}
10;0.1;0.58;0.12;25;roulette;1;-1219.0;-1173.0;36.471 seconds;{"price":1409,"size":46,"maxSize":27}
10;0.1;0.58;0.12;25;roulette;0;-1519.0;-1173.0;40.141 seconds;{"price":2049,"size":80,"maxSize":27}
10;0.1;0.6;0.1;30;roulette;2;-895.0;-1173.0;12.367 seconds;{"price":1065,"size":44,"maxSize":27}
10;0.1;0.58;0.08;25;roulette;1;-1020.0;-1173.0;45.013 seconds;{"price":1350,"size":60,"maxSize":27}
10;0.1;0.55;0.05;25;roulette;1;-1567.0;-1173.0;43.007 seconds;{"price":2047,"size":75,"maxSize":27}
10;0.1;0.62;0.12;25;roulette;1;-1543.0;-1173.0;55.335 seconds;{"price":2073,"size":80,"maxSize":27}
10;0.1;0.6;0.08;25;roulette;1;-1387.0;-1173.0;44.434 seconds;{"price":2007,"size":89,"maxSize":27}
10;0.1;0.62;0.08;25;roulette;2;-1061.0;-1173.0;40.688 seconds;{"price":1141,"size":35,"maxSize":27}
10;0.1;0.55;0.08;25;roulette;0;-894.0;-1173.0;39.085 seconds;{"price":1034,"size":41,"maxSize":27}
10;0.1;0.65;0.1;25;roulette;0;130.0;-1173.0;41.181 seconds;{"price":0,"size":0,"maxSize":27}
10;0.15;0.6;0.1;25;roulette;2;-1021.0;-1173.0;30.182 seconds;{"price":1321,"size":57,"maxSize":27}
10;0.1;0.6;0.05;25;roulette;2;-1146.0;-1173.0;40.920 seconds;{"price":1446,"size":57,"maxSize":27}
10;0.15;0.6;0.1;25;roulette;1;-1207.0;-1173.0;28.285 seconds;{"price":1707,"size":77,"maxSize":27}
10;0.1;0.58;0.05;25;roulette;2;-699.0;-1173.0;30.347 seconds;{"price":699,"size":27,"maxSize":27}
10;0.1;0.62;0.05;25;roulette;1;-990.0;-1173.0;28.403 seconds;{"price":1050,"size":33,"maxSize":27}
15;0.1;0.6;0.1;25;roulette;2;-899.0;-1173.0;25.617 seconds;{"price":979,"size":35,"maxSize":27}
10;0.1;0.6;0.1;30;roulette;0;-1033.0;-1173.0;39.349 seconds;{"price":1423,"size":66,"maxSize":27}
10;0.1;0.62;0.1;25;roulette;2;-1047.0;-1173.0;41.435 seconds;{"price":1317,"size":54,"maxSize":27}
10;0.1;0.65;0.08;25;roulette;2;-1438.0;-1173.0;38.805 seconds;{"price":1748,"size":58,"maxSize":27}
10;0.1;0.55;0.08;25;roulette;1;-1084.0;-1173.0;37.876 seconds;{"price":1354,"size":54,"maxSize":27}
10;0.1;0.6;0.12;25;roulette;2;-1247.0;-1173.0;46.725 seconds;{"price":1377,"size":40,"maxSize":27}
10;0.1;0.65;0.12;25;roulette;0;-1083.0;-1173.0;45.842 seconds;{"price":1393,"size":58,"maxSize":27}
10;0.1;0.55;0.05;25;roulette;0;-1337.0;-1173.0;33.362 seconds;{"price":1677,"size":61,"maxSize":27}
10;0.1;0.65;0.15;25;roulette;0;-1122.0;-1173.0;49.088 seconds;{"price":1382,"size":53,"maxSize":27}
10;0.1;0.6;0.1;35;roulette;0;-1352.0;-1173.0;45.530 seconds;{"price":1492,"size":41,"maxSize":27}
10;0.1;0.62;0.15;25;roulette;1;-1124.0;-1173.0;50.492 seconds;{"price":1354,"size":50,"maxSize":27}
10;0.1;0.65;0.12;25;roulette;2;-1214.0;-1173.0;40.874 seconds;{"price":1674,"size":73,"maxSize":27}
10;0.1;0.55;0.1;25;roulette;1;-877.0;-1173.0;40.224 seconds;{"price":1077,"size":47,"maxSize":27}
10;0.1;0.6;0.1;20;roulette;1;-1014.0;-1173.0;17.062 seconds;{"price":1024,"size":28,"maxSize":27}
5;0.1;0.6;0.1;25;roulette;1;-634.0;-1173.0;9.727 seconds;{"price":684,"size":17,"maxSize":27}
10;0.1;0.55;0.1;25;roulette;0;-1390.0;-1173.0;49.294 seconds;{"price":1770,"size":65,"maxSize":27}
10;0.1;0.65;0.15;25;roulette;2;-1492.0;-1173.0;15.801 seconds;{"price":2142,"size":92,"maxSize":27}
10;0.1;0.6;0.08;25;roulette;2;-1415.0;-1173.0;40.246 seconds;{"price":1975,"size":83,"maxSize":27}
10;0.1;0.62;0.1;25;roulette;1;-1383.0;-1173.0;56.154 seconds;{"price":2183,"size":107,"maxSize":27}
10;0.1;0.65;0.05;25;roulette;1;-625.0;-1173.0;25.684 seconds;{"price":665,"size":18,"maxSize":27}
10;0.1;0.62;0.08;25;roulette;0;-1581.0;-1173.0;39.075 seconds;{"price":2161,"size":85,"maxSize":27}
10;0.1;0.6;0.1;20;roulette;2;-238.0;-1173.0;4.867 seconds;{"price":328,"size":9,"maxSize":27}
10;0.1;0.6;0.05;25;roulette;0;-1247.0;-1173.0;40.049 seconds;{"price":1797,"size":82,"maxSize":27}
5;0.1;0.6;0.1;25;roulette;2;-1259.0;-1173.0;8.667 seconds;{"price":1649,"size":66,"maxSize":27}
15;0.1;0.6;0.1;25;roulette;1;-1001.0;-1173.0;25.918 seconds;{"price":1391,"size":66,"maxSize":27}
10;0.05;0.6;0.1;25;roulette;2;-928.0;-1173.0;30.085 seconds;{"price":1068,"size":41,"maxSize":27}
10;0.2;0.6;0.1;25;roulette;1;-708.0;-1173.0;5.635 seconds;{"price":718,"size":24,"maxSize":27}
10;0.2;0.6;0.1;25;roulette;2;-1173.0;-1173.0;3.171 seconds;{"price":1423,"size":52,"maxSize":27}
10;0.1;0.55;0.12;25;roulette;2;-914.0;-1173.0;39.429 seconds;{"price":1054,"size":41,"maxSize":27}
10;0.1;0.6;0.1;15;roulette;2;-1457.0;-1173.0;20.442 seconds;{"price":1707,"size":52,"maxSize":27}
10;0.1;0.62;0.1;25;roulette;0;-1015.0;-1173.0;47.403 seconds;{"price":1045,"size":30,"maxSize":27}
10;0.1;0.6;0.12;25;roulette;0;-1280.0;-1173.0;56.346 seconds;{"price":1710,"size":70,"maxSize":27}
10;0.1;0.62;0.15;25;roulette;0;-1263.0;-1173.0;49.794 seconds;{"price":1633,"size":64,"maxSize":27}
10;0.1;0.65;0.15;25;roulette;1;-787.0;-1173.0;21.678 seconds;{"price":1047,"size":53,"maxSize":27}
10;0.1;0.55;0.05;25;roulette;2;-867.0;-1173.0;35.912 seconds;{"price":1047,"size":45,"maxSize":27}
10;0.1;0.58;0.12;25;roulette;2;-634.0;-1173.0;41.592 seconds;{"price":684,"size":32,"maxSize":27}
10;0.1;0.55;0.15;25;roulette;2;-1131.0;-1173.0;35.647 seconds;{"price":1421,"size":56,"maxSize":27}
10;0.1;0.55;0.15;25;roulette;1;-826.0;-1173.0;41.367 seconds;{"price":1056,"size":50,"maxSize":27}
10;0.1;0.58;0.08;25;roulette;0;-758.0;-1173.0;39.891 seconds;{"price":988,"size":50,"maxSize":27}
10;0.1;0.62;0.12;25;roulette;2;-873.0;-1173.0;49.177 seconds;{"price":993,"size":39,"maxSize":27}
