popSize;mixinFactor;cp;mp;maxGen;natSel;iteration;eval;optimum;duration
5;0.05;0.78;0.32;100;roulette;1;229.52262403426045;0;0.179 seconds
5;0.05;0.75;0.35;90;roulette;0;251.70044120598615;0;0.182 seconds
5;0.0;0.75;0.3;100;roulette;0;223.3618770217332;0;0.262 seconds
5;0.0;0.75;0.3;100;roulette;2;207.71499612547424;0;0.195 seconds
5;0.05;0.8;0.32;100;roulette;1;232.1800637349731;0;0.207 seconds
5;0.05;0.75;0.28;100;roulette;0;231.28724035303043;0;0.181 seconds
5;0.05;0.75;0.32;100;roulette;2;215.10180969987186;0;0.202 seconds
5;0.05;0.82;0.25;100;roulette;2;220.6166150992756;0;0.133 seconds
5;0.0;0.82;0.25;90;roulette;0;200.0;0;0.276 seconds
5;0.05;0.82;0.32;100;roulette;0;239.87685522441475;0;0.252 seconds
5;0.0;0.82;0.32;100;roulette;0;228.84314532340005;0;0.191 seconds
15;0.0;0.8;0.3;100;roulette;2;235.69853634364682;0;0.642 seconds
5;0.0;0.8;0.3;100;roulette;1;200.0;0;0.315 seconds
5;0.0;0.85;0.28;100;roulette;1;237.27407596203807;0;0.236 seconds
5;0.05;0.85;0.32;100;roulette;1;239.1348577200115;0;0.205 seconds
5;0.05;0.78;0.28;100;roulette;0;199.8790101804988;0;0.229 seconds
5;0.05;0.78;0.3;100;roulette;2;241.43800870385752;0;0.192 seconds
5;0.05;0.8;0.28;100;roulette;0;199.92581774512286;0;0.248 seconds
5;0.05;0.75;0.35;95;roulette;2;222.1969843549825;0;0.092 seconds
5;0.0;0.82;0.25;110;roulette;1;281.17343744263997;0;0.249 seconds
5;0.0;0.75;0.32;100;roulette;1;217.0235781914855;0;0.118 seconds
5;0.0;0.78;0.28;100;roulette;2;222.6901923960579;0;0.182 seconds
5;0.05;0.8;0.3;100;roulette;1;240.75765381220174;0;0.184 seconds
5;0.0;0.78;0.25;100;roulette;0;231.5774533613515;0;0.197 seconds
5;0.0;0.75;0.35;100;roulette;0;226.2496282090375;0;0.212 seconds
5;0.0;0.85;0.35;100;roulette;1;245.25734927172974;0;0.135 seconds
5;0.05;0.82;0.25;100;roulette;0;205.3659514762859;0;0.161 seconds
5;0.05;0.85;0.25;100;roulette;0;199.94730078005074;0;0.226 seconds
5;0.05;0.8;0.28;100;roulette;1;227.9610989921637;0;0.216 seconds
5;0.05;0.75;0.35;95;roulette;1;240.18724262887673;0;0.153 seconds
5;0.05;0.75;0.35;105;roulette;2;245.13370015977588;0;0.117 seconds
5;0.05;0.78;0.35;100;roulette;0;199.89016945443225;0;0.245 seconds
5;0.05;0.8;0.25;100;roulette;0;275.828283874385;0;0.252 seconds
5;0.1;0.82;0.25;100;roulette;0;232.7901582732705;0;0.146 seconds
5;0.05;0.75;0.35;100;roulette;0;199.71041298245348;0;0.187 seconds
5;0.0;0.8;0.3;100;roulette;0;200.90504314267534;0;0.315 seconds
5;0.0;0.75;0.28;100;roulette;0;251.85593519986986;0;0.256 seconds
5;0.0;0.8;0.28;100;roulette;0;261.6761865878453;0;0.243 seconds
15;0.0;0.82;0.25;100;roulette;0;259.5226694639472;0;1.395 seconds
5;0.05;0.85;0.32;100;roulette;0;202.08257266841795;0;0.212 seconds
5;0.0;0.85;0.35;100;roulette;0;248.15713058145022;0;0.171 seconds
5;0.05;0.78;0.25;100;roulette;2;199.90765733636275;0;0.207 seconds
5;0.0;0.78;0.25;100;roulette;2;340.21676461891127;0;0.115 seconds
5;0.0;0.82;0.25;105;roulette;0;217.58276603774982;0;0.283 seconds
5;0.05;0.75;0.35;105;roulette;0;222.82069454307188;0;0.200 seconds
5;0.05;0.85;0.25;100;roulette;1;199.95734744651548;0;0.200 seconds
10;0.0;0.82;0.25;100;roulette;2;211.3665714451435;0;0.679 seconds
5;0.05;0.75;0.25;100;roulette;2;228.2814594433898;0;0.266 seconds
5;0.0;0.85;0.32;100;roulette;0;251.48386660383082;0;0.210 seconds
5;0.0;0.85;0.32;100;roulette;2;204.10069537569268;0;0.167 seconds
5;0.0;0.78;0.32;100;roulette;0;230.36707247295507;0;0.186 seconds
5;0.0;0.82;0.25;100;roulette;1;214.65671169249117;0;0.146 seconds
20;0.0;0.82;0.25;100;roulette;1;245.7293109904141;0;1.413 seconds
5;0.0;0.8;0.3;100;roulette;2;229.18169808861703;0;0.257 seconds
5;0.05;0.8;0.32;100;roulette;0;265.04937694477803;0;0.258 seconds
5;0.0;0.82;0.35;100;roulette;0;216.7106525754586;0;0.208 seconds
5;0.0;0.82;0.25;95;roulette;2;214.18620185637698;0;0.233 seconds
5;0.1;0.8;0.3;100;roulette;0;215.98732260830468;0;0.203 seconds
5;0.0;0.82;0.3;100;roulette;2;224.9665959482935;0;0.207 seconds
5;0.0;0.8;0.35;100;roulette;0;199.9999999999997;0;0.209 seconds
5;0.0;0.8;0.35;100;roulette;1;241.83055726504028;0;0.181 seconds
5;0.05;0.75;0.35;110;roulette;2;234.73129451580044;0;0.106 seconds
5;0.0;0.82;0.32;100;roulette;1;244.54580598030336;0;0.156 seconds
5;0.05;0.82;0.32;100;roulette;2;208.2508683850524;0;0.291 seconds
5;0.05;0.75;0.35;105;roulette;1;206.2321893765405;0;0.097 seconds
5;0.0;0.78;0.35;100;roulette;0;199.9999999999996;0;0.273 seconds
5;0.05;0.85;0.25;100;roulette;2;229.54060112828813;0;0.176 seconds
10;0.0;0.82;0.25;100;roulette;1;251.73144846214876;0;0.689 seconds
5;0.05;0.78;0.3;100;roulette;0;203.49023936400727;0;0.254 seconds
5;0.05;0.82;0.3;100;roulette;2;253.2434284757765;0;0.182 seconds
5;0.05;0.82;0.35;100;roulette;0;199.87904820794967;0;0.192 seconds
5;0.05;0.85;0.35;100;roulette;1;231.64168633573706;0;0.158 seconds
5;0.05;0.75;0.35;100;roulette;2;244.28022036579938;0;0.118 seconds
5;0.0;0.85;0.28;100;roulette;0;243.41815895472556;0;0.227 seconds
5;0.1;0.82;0.25;100;roulette;1;224.26306445084026;0;0.117 seconds
5;0.05;0.75;0.3;100;roulette;2;225.17747633321267;0;0.218 seconds
20;0.0;0.82;0.25;100;roulette;0;249.47972173410687;0;1.629 seconds
5;0.05;0.82;0.28;100;roulette;2;222.75418513626653;0;0.083 seconds
5;0.05;0.75;0.25;100;roulette;1;219.80649082807355;0;0.216 seconds
5;0.0;0.78;0.25;100;roulette;1;216.59093356957766;0;0.146 seconds
5;0.05;0.75;0.35;110;roulette;1;207.3658622088402;0;0.172 seconds
5;0.0;0.85;0.3;100;roulette;0;237.11190919336443;0;0.166 seconds
5;0.05;0.8;0.3;100;roulette;2;230.6999926070199;0;0.177 seconds
5;0.0;0.75;0.28;100;roulette;1;242.61404323313556;0;0.239 seconds
5;0.05;0.85;0.3;100;roulette;2;199.94700640101033;0;0.222 seconds
5;0.0;0.82;0.28;100;roulette;0;240.9555285303143;0;0.167 seconds
5;0.0;0.8;0.35;100;roulette;2;202.381726131966;0;0.109 seconds
5;0.05;0.78;0.28;100;roulette;2;214.79653213072422;0;0.300 seconds
5;0.05;0.78;0.35;100;roulette;2;253.78432505393965;0;0.285 seconds
5;0.0;0.8;0.32;100;roulette;1;221.9327970261312;0;0.235 seconds
5;0.05;0.85;0.28;100;roulette;0;267.24545799314603;0;0.303 seconds
5;0.05;0.82;0.35;100;roulette;1;228.18282046139612;0;0.217 seconds
5;0.05;0.82;0.3;100;roulette;1;244.5007551233522;0;0.206 seconds
5;0.0;0.85;0.28;100;roulette;2;267.0658981955936;0;0.142 seconds
5;0.05;0.75;0.35;90;roulette;2;219.95108993375322;0;0.146 seconds
5;0.05;0.78;0.35;100;roulette;1;231.01808579147206;0;0.235 seconds
5;0.0;0.75;0.25;100;roulette;0;252.07868922771272;0;0.284 seconds
5;0.05;0.82;0.28;100;roulette;0;210.4994747411873;0;0.143 seconds
5;0.05;0.75;0.35;90;roulette;1;242.7229491065748;0;0.143 seconds
5;0.05;0.78;0.25;100;roulette;1;255.72135357048467;0;0.212 seconds
5;0.05;0.75;0.35;100;roulette;1;253.82865136618867;0;0.182 seconds
5;0.05;0.75;0.28;100;roulette;2;246.44419827724198;0;0.151 seconds
5;0.05;0.78;0.28;100;roulette;1;245.64563890499628;0;0.226 seconds
5;0.0;0.78;0.35;100;roulette;2;215.76599615967297;0;0.180 seconds
5;0.0;0.78;0.32;100;roulette;2;200.0;0;0.155 seconds
5;0.1;0.82;0.25;100;roulette;2;216.78731484291984;0;0.127 seconds
15;0.0;0.8;0.3;100;roulette;0;230.2151336853064;0;0.710 seconds
5;0.0;0.78;0.35;100;roulette;1;214.89638690532774;0;0.213 seconds
5;0.05;0.8;0.35;100;roulette;2;208.75200999883413;0;0.299 seconds
