popSize;mixinFactor;cp;mp;maxGen;natSel;iteration;eval;optimum;duration;bestPhenotype
5;0.0;0.6;0.35;100;roulette;2;4779.334194211954;564;15.750 seconds;{"eval":4779.334194211954}
5;0.0;0.6;0.25;100;roulette;2;5024.985059136446;564;33.756 seconds;{"eval":5024.985059136446}
5;0.0;0.55;0.25;100;roulette;1;4761.419691536968;564;35.376 seconds;{"eval":4761.419691536968}
15;0.0;0.65;0.35;100;roulette;2;5057.110755293396;564;3 minutes, 5.538 seconds;{"eval":5057.110755293396}
5;0.0;0.6;0.35;100;roulette;0;4803.6006800518035;564;24.699 seconds;{"eval":4803.6006800518035}
5;0.0;0.58;0.35;100;roulette;0;4889.8078190722335;564;30.529 seconds;{"eval":4889.8078190722335}
5;0.0;0.55;0.25;100;roulette;0;4700.10528194991;564;30.942 seconds;{"eval":4700.10528194991}
5;0.0;0.65;0.35;95;roulette;1;4940.83849261875;564;22.603 seconds;{"eval":4940.83849261875}
5;0.0;0.58;0.28;100;roulette;1;5123.948813786724;564;35.667 seconds;{"eval":5123.948813786724}
10;0.0;0.65;0.35;100;roulette;2;4889.737895298051;564;1 minutes, 54.158 seconds;{"eval":4889.737895298051}
20;0.0;0.65;0.35;100;roulette;0;5074.18264257542;564;4 minutes, 21.881 seconds;{"eval":5074.18264257542}
5;0.0;0.65;0.3;100;roulette;1;5039.329825845285;564;23.130 seconds;{"eval":5039.329825845285}
5;0.0;0.6;0.28;100;roulette;2;4869.95763052719;564;34.188 seconds;{"eval":4869.95763052719}
5;0.0;0.55;0.25;100;roulette;2;5136.169328171626;564;33.993 seconds;{"eval":5136.169328171626}
5;0.0;0.65;0.35;95;roulette;0;4961.902506441593;564;31.906 seconds;{"eval":4961.902506441593}
5;0.0;0.6;0.35;100;roulette;1;5045.905043909241;564;19.629 seconds;{"eval":5045.905043909241}
5;0.0;0.58;0.32;100;roulette;1;5184.137862335438;564;31.836 seconds;{"eval":5184.137862335438}
5;0.0;0.65;0.28;100;roulette;2;5099.164980604633;564;35.236 seconds;{"eval":5099.164980604633}
5;0.0;0.55;0.35;100;roulette;0;4903.992440139542;564;33.900 seconds;{"eval":4903.992440139542}
5;0.0;0.65;0.35;105;roulette;1;5025.647792929325;564;14.410 seconds;{"eval":5025.647792929325}
5;0.0;0.65;0.35;110;roulette;0;4738.289787290892;564;35.514 seconds;{"eval":4738.289787290892}
5;0.0;0.58;0.25;100;roulette;0;4972.30409337995;564;23.974 seconds;{"eval":4972.30409337995}
5;0.0;0.65;0.35;100;roulette;0;4692.316472337881;564;35.301 seconds;{"eval":4692.316472337881}
5;0.1;0.6;0.3;100;roulette;2;5087.42008696135;564;18.391 seconds;{"eval":5087.42008696135}
5;0.0;0.58;0.3;100;roulette;1;4898.532510608352;564;29.307 seconds;{"eval":4898.532510608352}
5;0.0;0.55;0.35;100;roulette;2;4962.339081182316;564;26.010 seconds;{"eval":4962.339081182316}
10;0.0;0.65;0.35;100;roulette;1;4877.211852449122;564;1 minutes, 55.885 seconds;{"eval":4877.211852449122}
5;0.0;0.65;0.25;100;roulette;0;4833.108600893009;564;27.143 seconds;{"eval":4833.108600893009}
5;0.0;0.55;0.32;100;roulette;2;4874.252128699409;564;27.101 seconds;{"eval":4874.252128699409}
